X|Y|OBJECTID|primary_key|final_case_type|occ_year|occ_dt|obfAddress|priority|zone|grid|how_received|unit_id1|unit_id2|unit_id3|report_flag|case_status|cleared_by|x_rand|y_rand|disclaimer|place_name|CFSType
-111.939371095308275|33.425416978519728|1|TE20124|901D|2012|2012-01-01T00:02:26.000Z|3X E 5TH ST[NORTHSIDE CITY HALL|2|DT|0708|S|M62|||N|Y|2|693073|882314|Point has not been altered|CITY HALL|Subject Down Call
-111.94001025954357|33.425485569835594|2|TE201211|SUBJEC|2012|2012-01-01T00:07:12.000Z| 5TH ST / S MILL AVE[NEC|2|DT|0708|S|S202|||N|Y|2|692878|882339|Point has not been altered||Other Officer Initiated Call
-111.934968456416371|33.421954723587689|3|TE201220|VEHICL|2012|2012-01-01T00:11:29.000Z| UNIVERSITY DR / S COLLEGE AVE|2|2|0902|S|3T51|||N|Y|2|694416|881054|Point has not been altered||Other Officer Initiated Call
-111.924754840546953|33.377978509725153|4|TE20126|910|2012|2012-01-01T00:01:20.000Z|9XX E BASELINE RD|2|4|2307|9|5P31|P57||N|N|2|697531|865053|Point has not been altered|LAKEFRONT APARTMENTS|Shots Fired Call
-111.956660848523825|33.425500557644718|5|TE201217|SUBJEC|2012|2012-01-01T00:09:37.000Z| 5TH ST / S BECK AVE|2|2|0607|S|4E23|||N|Y|2|687798|882346|Point has not been altered||Other Officer Initiated Call
-111.892444330097376|33.414860085252307|6|TE201210|417D|2012|2012-01-01T00:04:11.000Z|2XXX E APACHE BLVD|2|1|1105|T|5P11|5E14||N|Y|2|707391|878473|Point has not been altered|CIRCLE K|Subject Disturbing/Harassing Call
-111.939764382347462|33.425290479595709|7|TE201215|929|2012|2012-01-01T00:09:19.000Z|5XX S MILL AVE|3|DT|0708|S|B702|S10|S30|N|Y|2|692953|882268|Point has not been altered|HOOTERS|Agency Assist Call
-111.953638182983667|33.416233890580457|8|TE201226|506F|2012|2012-01-01T00:16:23.000Z|1XXX W 12TH ST|2|2|0806|T|5P21|P57||N|N|2|688719|878974|Point has not been altered||City Code Violation Call
-111.939764382347462|33.425290479595709|9|TE201224|239|2012|2012-01-01T00:13:40.000Z|5XX S MILL AVE|2|DT|0708|S|N304|S203||N|Y|2|692953|882268|Point has not been altered|BLONDIES|Fight Call
-111.940098298205683|33.423778797788273|10|TE20125|SUBJEC|2012|2012-01-01T00:02:39.000Z|6XX S MILL AVE|2|DT|0707|S|S201|||Y|Y|2|692851|881718|Point has not been altered|FAT TUESDAY in CENTERPOINT|Other Officer Initiated Call
-111.893768244935174|33.390273076360955|11|TE20129|910|2012|2012-01-01T00:03:23.000Z|3XXX S LOLA LANE|2|3|2104|9|5P32|||N|Y|2|706989|869527|Point has not been altered||Shots Fired Call
-111.895818581552533|33.393035592902464|12|TE201223|VEHICL|2012|2012-01-01T00:13:00.000Z|2XXX E SOUTHERN AVE|2|3|1613|S|3T53|5P31||Y|Y|2|706363|870532|Point has not been altered||Other Officer Initiated Call
-111.940354069671841|33.424212996213051|13|TE201212|239|2012|2012-01-01T00:07:08.000Z|6XX S MILL AVE|2|DT|0707|T|S201|G40||Y|Y|5|692773|881876|Point has not been altered||Fight Call
-111.932344420140538|33.392560878377125|14|TE20128|910|2012|2012-01-01T00:03:20.000Z|3XXX S LA CORTA DR|2|3|1903|T|5P31|||N|Y|2|695215|870359|Point has not been altered||Shots Fired Call
